model,CEV,n,RMSE_pca,RMSE_no_dr,RMSE_gain_pct,DM_MSE_stat,DM_MSE_p,Wilcoxon_p,DM_MSE_p_holm,significant_5pct_holm
ARDL,0.7500,167,14.0640,85.8870,83.6249,-4.2596,0.0000,0.0000,0.0002,True
ARDL,0.8000,167,13.9815,85.8870,83.7210,-4.2606,0.0000,0.0000,0.0002,True
ARDL,0.8500,167,13.9718,85.8870,83.7323,-4.2604,0.0000,0.0000,0.0002,True
ARDL,0.9000,167,13.9666,85.8870,83.7384,-4.2601,0.0000,0.0000,0.0002,True
ARDL,0.9500,167,14.0562,85.8870,83.6340,-4.2578,0.0000,0.0000,0.0002,True
LSTM,0.7500,167,21.6952,41.3239,47.4998,-2.4366,0.0148,0.0000,0.0741,False
LSTM,0.8000,167,24.7284,41.3239,40.1596,-2.2805,0.0226,0.0000,0.0903,False
LSTM,0.8500,167,27.4037,41.3239,33.6856,-2.2226,0.0262,0.0000,0.0903,False
LSTM,0.9000,167,31.7038,41.3239,23.2799,-1.4302,0.1526,0.0041,0.1704,False
LSTM,0.9500,167,32.1564,41.3239,22.1845,-1.7212,0.0852,0.0003,0.1704,False
